name,country,iata,icao,timezone_pytz,state
Barter Island LRRS Airport,United States,BTI,PABA,America/Anchorage,Alaska
Cape Lisburne LRRS Airport,United States,LUR,PALU,America/Anchorage,Alaska
Point Lay LRRS Airport,United States,PIZ,PPIZ,America/Anchorage,Alaska
Hilo International Airport,United States,ITO,PHTO,Pacific/Honolulu,Hawaii
Orlando Executive Airport,United States,ORL,KORL,America/New_York,Florida
Bettles Airport,United States,BTT,PABT,America/Anchorage,Alaska
Indian Mountain LRRS Airport,United States,UTO,PAIM,America/Anchorage,Alaska
Fort Yukon Airport,United States,FYU,PFYU,America/Anchorage,Alaska
Sparrevohn LRRS Airport,United States,SVW,PASV,America/Anchorage,Alaska
Bryant Army Heliport,United States,FRN,PAFR,America/Anchorage,Alaska
Tatalina LRRS Airport,United States,TLJ,PATL,America/Anchorage,Alaska
Cape Romanzof LRRS Airport,United States,CZF,PACZ,America/Anchorage,Alaska
Laurence G Hanscom Field,United States,BED,KBED,America/New_York,Massachusetts
St Paul Island Airport,United States,SNP,PASN,America/Anchorage,Alaska
Cape Newenham LRRS Airport,United States,EHM,PAEH,America/Anchorage,Alaska
St George Airport,United States,STG,PAPB,America/Anchorage,Alaska
Iliamna Airport,United States,ILI,PAIL,America/Anchorage,Alaska
Platinum Airport,United States,PTU,PAPM,America/Anchorage,Alaska
Big Mountain Airport,United States,BMX,PABM,America/Anchorage,Alaska
Oscoda Wurtsmith Airport,United States,OSC,KOSC,America/New_York,Michigan
Marina Municipal Airport,United States,OAR,KOAR,America/Los_Angeles,California
Sacramento Mather Airport,United States,MHR,KMHR,America/Los_Angeles,California
Bicycle Lake Army Air Field,United States,BYS,KBYS,America/Los_Angeles,California
Fort Smith Regional Airport,United States,FSM,KFSM,America/Chicago,Arkansas
Merrill Field,United States,MRI,PAMR,America/Anchorage,Alaska
Grants-Milan Municipal Airport,United States,GNT,KGNT,America/Denver,New Mexico
Ponca City Regional Airport,United States,PNC,KPNC,America/Chicago,Oklahoma
Hunter Army Air Field,United States,SVN,KSVN,America/New_York,Georgia
Grand Forks International Airport,United States,GFK,KGFK,America/Chicago,North Dakota
"Pine Bluff Regional Airport, Grider Field",United States,PBF,KPBF,America/Chicago,Arkansas
Whiting Field Naval Air Station - North,United States,NSE,KNSE,America/Chicago,Florida
Hana Airport,United States,HNM,PHHN,Pacific/Honolulu,Hawaii
Ernest A. Love Field,United States,PRC,KPRC,America/Phoenix,Arizona
Trenton Mercer Airport,United States,TTN,KTTN,America/New_York,New Jersey
General Edward Lawrence Logan International Airport,United States,BOS,KBOS,America/New_York,Massachusetts
Travis Air Force Base,United States,SUU,KSUU,America/Los_Angeles,California
Griffiss International Airport,United States,RME,KRME,America/New_York,New York
Wendover Airport,United States,ENV,KENV,America/Denver,Utah
Mobile Downtown Airport,United States,BFM,KBFM,America/Chicago,Alabama
Metropolitan Oakland International Airport,United States,OAK,KOAK,America/Los_Angeles,California
Eppley Airfield,United States,OMA,KOMA,America/Chicago,Iowa
Kahului Airport,United States,OGG,PHOG,Pacific/Honolulu,Hawaii
Wichita Eisenhower National Airport,United States,ICT,KICT,America/Chicago,Kansas
Kansas City International Airport,United States,MCI,KMCI,America/Chicago,Missouri
Dane County Regional Truax Field,United States,MSN,KMSN,America/Chicago,Wisconsin
Dillingham Airport,United States,DLG,PADL,America/Anchorage,Alaska
Boone County Airport,United States,HRO,KHRO,America/Chicago,Arkansas
Phoenix Sky Harbor International Airport,United States,PHX,KPHX,America/Phoenix,Arizona
Bangor International Airport,United States,BGR,KBGR,America/New_York,Maine
Fort Lauderdale Executive Airport,United States,FXE,KFXE,America/New_York,Florida
East Texas Regional Airport,United States,GGG,KGGG,America/Chicago,Texas
Anderson Regional Airport,United States,AND,KAND,America/New_York,South Carolina
Spokane International Airport,United States,GEG,KGEG,America/Los_Angeles,Washington
North Perry Airport,United States,HWO,KHWO,America/New_York,Florida
San Francisco International Airport,United States,SFO,KSFO,America/Los_Angeles,California
Cut Bank International Airport,United States,CTB,KCTB,America/Denver,Montana
Acadiana Regional Airport,United States,ARA,KARA,America/Chicago,Louisiana
Gainesville Regional Airport,United States,GNV,KGNV,America/New_York,Florida
Memphis International Airport,United States,MEM,KMEM,America/Chicago,Mississippi
Bisbee Douglas International Airport,United States,DUG,KDUG,America/Phoenix,Arizona
Allen Army Airfield,United States,BIG,PABI,America/Anchorage,Alaska
TSTC Waco Airport,United States,CNW,KCNW,America/Chicago,Texas
Annette Island Airport,United States,ANN,PANT,America/Anchorage,Alaska
Caribou Municipal Airport,United States,CAR,KCAR,America/New_York,Maine
Little Rock Air Force Base,United States,LRF,KLRF,America/Chicago,Arkansas
Redstone Army Air Field,United States,HUA,KHUA,America/Chicago,Alabama
Pope Field,United States,POB,KPOB,America/New_York,North Carolina
Dalhart Municipal Airport,United States,DHT,KDHT,America/Chicago,Texas
DLF Airport,United States,DLF,KDLF,America/Chicago,Texas
Los Angeles International Airport,United States,LAX,KLAX,America/Los_Angeles,California
Anniston Regional Airport,United States,ANB,KANB,America/Chicago,Alabama
Cleveland Hopkins International Airport,United States,CLE,KCLE,America/New_York,Ohio
Dover Air Force Base,United States,DOV,KDOV,America/New_York,Delaware
Cincinnati Northern Kentucky International Airport,United States,CVG,KCVG,America/New_York,Kentucky
Tipton Airport,United States,FME,KFME,America/New_York,Maryland
Huron Regional Airport,United States,HON,KHON,America/Chicago,South Dakota
Juneau International Airport,United States,JNU,PAJN,America/Anchorage,Alaska
Lafayette Regional Airport,United States,LFT,KLFT,America/Chicago,Louisiana
Newark Liberty International Airport,United States,EWR,KEWR,America/New_York,New Jersey
Boise Air Terminal/Gowen Field,United States,BOI,KBOI,America/Denver,Idaho
Creech Air Force Base,United States,INS,KINS,America/Los_Angeles,Nevada
Garden City Regional Airport,United States,GCK,KGCK,America/Chicago,Kansas
Minot International Airport,United States,MOT,KMOT,America/Chicago,North Dakota
Wheeler Army Airfield,United States,HHI,PHHI,Pacific/Honolulu,Hawaii
Maxwell Air Force Base,United States,MXF,KMXF,America/Chicago,Alabama
Dallas Love Field,United States,DAL,KDAL,America/Chicago,Texas
Butts AAF (Fort Carson) Air Field,United States,FCS,KFCS,America/Denver,Colorado
Helena Regional Airport,United States,HLN,KHLN,America/Denver,Montana
Miramar Marine Corps Air Station - Mitscher Field,United States,NKX,KNKX,America/Los_Angeles,California
Luke Air Force Base,United States,LUF,KLUF,America/Phoenix,Arizona
Jack Northrop Field Hawthorne Municipal Airport,United States,HHR,KHHR,America/Los_Angeles,California
Houlton International Airport,United States,HUL,KHUL,America/New_York,Maine
Vance Air Force Base,United States,END,KEND,America/Chicago,Oklahoma
Point Mugu Naval Air Station (Naval Base Ventura Co),United States,NTD,KNTD,America/Los_Angeles,California
Edwards Air Force Base,United States,EDW,KEDW,America/Los_Angeles,California
Lake Charles Regional Airport,United States,LCH,KLCH,America/Chicago,Louisiana
Ellison Onizuka Kona International At Keahole Airport,United States,KOA,PHKO,Pacific/Honolulu,Hawaii
Myrtle Beach International Airport,United States,MYR,KMYR,America/New_York,South Carolina
Lemoore Naval Air Station (Reeves Field) Airport,United States,NLC,KNLC,America/Los_Angeles,California
Nantucket Memorial Airport,United States,ACK,KACK,America/New_York,Massachusetts
Felker Army Air Field,United States,FAF,KFAF,America/New_York,Virginia
Campbell AAF (Fort Campbell) Air Field,United States,HOP,KHOP,America/Chicago,Kentucky
Ronald Reagan Washington National Airport,United States,DCA,KDCA,America/New_York,District of Columbia
Patuxent River Naval Air Station (Trapnell Field),United States,NHK,KNHK,America/New_York,Maryland
Palacios Municipal Airport,United States,PSX,KPSX,America/Chicago,Texas
Arkansas International Airport,United States,BYH,KBYH,America/Chicago,Arkansas
Atlantic City International Airport,United States,ACY,KACY,America/New_York,New Jersey
Tinker Air Force Base,United States,TIK,KTIK,America/Chicago,Oklahoma
Elizabeth City Regional Airport & Coast Guard Air Station,United States,ECG,KECG,America/New_York,North Carolina
Pueblo Memorial Airport,United States,PUB,KPUB,America/Denver,Colorado
Northern Maine Regional Airport at Presque Isle,United States,PQI,KPQI,America/New_York,Maine
Gray Army Air Field,United States,GRF,KGRF,America/Los_Angeles,Washington
Kodiak Airport,United States,ADQ,PADQ,America/Anchorage,Alaska
Upolu Airport,United States,UPP,PHUP,Pacific/Honolulu,Hawaii
Fort Lauderdale Hollywood International Airport,United States,FLL,KFLL,America/New_York,Florida
Salt Lake City International Airport,United States,SLC,KSLC,America/Denver,Utah
Childress Municipal Airport,United States,CDS,KCDS,America/Chicago,Texas
Keesler Air Force Base,United States,BIX,KBIX,America/Chicago,Mississippi
Lawson Army Air Field (Fort Benning),United States,LSF,KLSF,America/New_York,Georgia
Kingsville Naval Air Station,United States,NQI,KNQI,America/Chicago,Texas
Marshall Army Air Field,United States,FRI,KFRI,America/Chicago,Kansas
Harrisburg International Airport,United States,MDT,KMDT,America/New_York,Pennsylvania
Lincoln Airport,United States,LNK,KLNK,America/Chicago,Nebraska
Capital City Airport,United States,LAN,KLAN,America/New_York,Michigan
Waimea Kohala Airport,United States,MUE,PHMU,Pacific/Honolulu,Hawaii
Massena International Richards Field,United States,MSS,KMSS,America/New_York,New York
Hickory Regional Airport,United States,HKY,KHKY,America/New_York,North Carolina
Albert Whitted Airport,United States,SPG,KSPG,America/New_York,Florida
Page Field,United States,FMY,KFMY,America/New_York,Florida
George Bush Intercontinental Houston Airport,United States,IAH,KIAH,America/Chicago,Texas
Joint Base Andrews,United States,ADW,KADW,America/New_York,Maryland
Smith Reynolds Airport,United States,INT,KINT,America/New_York,North Carolina
Southern California Logistics Airport,United States,VCV,KVCV,America/Los_Angeles,California
Bob Sikes Airport,United States,CEW,KCEW,America/Chicago,Florida
St Clair County International Airport,United States,PHN,KPHN,America/New_York,Michigan
Meadows Field,United States,BFL,KBFL,America/Los_Angeles,California
El Paso International Airport,United States,ELP,KELP,America/Denver,Texas
Valley International Airport,United States,HRL,KHRL,America/Chicago,Texas
Columbia Metropolitan Airport,United States,CAE,KCAE,America/New_York,South Carolina
Davis Monthan Air Force Base,United States,DMA,KDMA,America/Phoenix,Arizona
Pensacola Naval Air Station/Forrest Sherman Field,United States,NPA,KNPA,America/Chicago,Florida
Pensacola Regional Airport,United States,PNS,KPNS,America/Chicago,Florida
Grand Forks Air Force Base,United States,RDR,KRDR,America/Chicago,North Dakota
William P Hobby Airport,United States,HOU,KHOU,America/Chicago,Texas
Buckley Air Force Base,United States,BFK,KBKF,America/Denver,Colorado
Northway Airport,United States,ORT,PAOR,America/Anchorage,Alaska
"Warren ""Bud"" Woods Palmer Municipal Airport",United States,PAQ,PAAQ,America/Anchorage,Alaska
Pittsburgh International Airport,United States,PIT,KPIT,America/New_York,Pennsylvania
Wiley Post Will Rogers Memorial Airport,United States,BRW,PABR,America/Anchorage,Alaska
Ellington Airport,United States,EFD,KEFD,America/Chicago,Texas
Whidbey Island Naval Air Station (Ault Field),United States,NUW,KNUW,America/Los_Angeles,Washington
Alice International Airport,United States,ALI,KALI,America/Chicago,Texas
Moody Air Force Base,United States,VAD,KVAD,America/New_York,Georgia
Miami International Airport,United States,MIA,KMIA,America/New_York,Florida
Seattle Tacoma International Airport,United States,SEA,KSEA,America/Los_Angeles,Washington
Lovell Field,United States,CHA,KCHA,America/New_York,Tennessee
Igor I Sikorsky Memorial Airport,United States,BDR,KBDR,America/New_York,Connecticut
Jackson-Medgar Wiley Evers International Airport,United States,JAN,KJAN,America/Chicago,Mississippi
Scholes International At Galveston Airport,United States,GLS,KGLS,America/Chicago,Texas
Long Beach /Daugherty Field/ Airport,United States,LGB,KLGB,America/Los_Angeles,California
Dillingham Airfield,United States,HDH,PHDH,Pacific/Honolulu,Hawaii
Williamsport Regional Airport,United States,IPT,KIPT,America/New_York,Pennsylvania
Indianapolis International Airport,United States,IND,KIND,America/New_York,Indiana
Whiteman Air Force Base,United States,SZL,KSZL,America/Chicago,Missouri
Akron Fulton International Airport,United States,AKC,KAKR,America/New_York,Ohio
Greenwood–Leflore Airport,United States,GWO,KGWO,America/Chicago,Mississippi
Westchester County Airport,United States,HPN,KHPN,America/New_York,New York
Francis S Gabreski Airport,United States,FOK,KFOK,America/New_York,New York
Jonesboro Municipal Airport,United States,JBR,KJBR,America/Chicago,Arkansas
Tonopah Test Range Airport,United States,XSD,KTNX,America/Los_Angeles,Nevada
Palm Beach County Park Airport,United States,LNA,KLNA,America/New_York,Florida
North Island Naval Air Station-Halsey Field,United States,NZY,KNZY,America/Los_Angeles,California
Biggs Army Air Field (Fort Bliss),United States,BIF,KBIF,America/Denver,Texas
Yuma MCAS/Yuma International Airport,United States,YUM,KNYL,America/Phoenix,Arizona
Cavern City Air Terminal,United States,CNM,KCNM,America/Denver,New Mexico
Duluth International Airport,United States,DLH,KDLH,America/Chicago,Minnesota
Bethel Airport,United States,BET,PABE,America/Anchorage,Alaska
Bowman Field,United States,LOU,KLOU,America/New_York,Kentucky
Sierra Vista Municipal Libby Army Air Field,United States,FHU,KFHU,America/Phoenix,Arizona
Lihue Airport,United States,LIH,PHLI,Pacific/Honolulu,Hawaii
"Terre Haute Regional Airport, Hulman Field",United States,HUF,KHUF,America/New_York,Indiana
Havre City County Airport,United States,HVR,KHVR,America/Denver,Montana
Grant County International Airport,United States,MWH,KMWH,America/Los_Angeles,Washington
Edward F Knapp State Airport,United States,MPV,KMPV,America/New_York,Vermont
Richmond International Airport,United States,RIC,KRIC,America/New_York,Virginia
Shreveport Regional Airport,United States,SHV,KSHV,America/Chicago,Louisiana
Merle K (Mudhole) Smith Airport,United States,CDV,PACV,America/Anchorage,Alaska
Norfolk International Airport,United States,ORF,KORF,America/New_York,Virginia
Southeast Texas Regional Airport,United States,BPT,KBPT,America/Chicago,Texas
Savannah Hilton Head International Airport,United States,SAV,KSAV,America/New_York,Georgia
Hill Air Force Base,United States,HIF,KHIF,America/Denver,Utah
Nome Airport,United States,OME,PAOM,America/Anchorage,Alaska
St Petersburg Clearwater International Airport,United States,PIE,KPIE,America/New_York,Florida
Menominee Regional Airport,United States,MNM,KMNM,America/Chicago,Wisconsin
Conroe-North Houston Regional Airport,United States,CXO,KCXO,America/Chicago,Texas
Deadhorse Airport,United States,SCC,PASC,America/Anchorage,Alaska
San Antonio International Airport,United States,SAT,KSAT,America/Chicago,Texas
Greater Rochester International Airport,United States,ROC,KROC,America/New_York,New York
Patrick Air Force Base,United States,COF,KCOF,America/New_York,Florida
Teterboro Airport,United States,TEB,KTEB,America/New_York,New Jersey
Ellsworth Air Force Base,United States,RCA,KRCA,America/Denver,South Dakota
Raleigh Durham International Airport,United States,RDU,KRDU,America/New_York,North Carolina
James M Cox Dayton International Airport,United States,DAY,KDAY,America/New_York,Ohio
Kenai Municipal Airport,United States,ENA,PAEN,America/Anchorage,Alaska
Mc Alester Regional Airport,United States,MLC,KMLC,America/Chicago,Oklahoma
Niagara Falls International Airport,United States,IAG,KIAG,America/New_York,New York
Coulter Field,United States,CFD,KCFD,America/Chicago,Texas
Wright AAF (Fort Stewart)/Midcoast Regional Airport,United States,LIY,KLHW,America/New_York,Georgia
Newport News Williamsburg International Airport,United States,PHF,KPHF,America/New_York,Virginia
Esler Regional Airport,United States,ESF,KESF,America/Chicago,Louisiana
Altus Air Force Base,United States,LTS,KLTS,America/Chicago,Oklahoma
Tucson International Airport,United States,TUS,KTUS,America/Phoenix,Arizona
Minot Air Force Base,United States,MIB,KMIB,America/Chicago,North Dakota
Beale Air Force Base,United States,BAB,KBAB,America/Los_Angeles,California
Greater Kankakee Airport,United States,IKK,KIKK,America/Chicago,Illinois
Seymour Johnson Air Force Base,United States,GSB,KGSB,America/New_York,North Carolina
Theodore Francis Green State Airport,United States,PVD,KPVD,America/New_York,Rhode Island
Salisbury Ocean City Wicomico Regional Airport,United States,SBY,KSBY,America/New_York,Maryland
Bob Hope Airport,United States,BUR,KBUR,America/Los_Angeles,California
Detroit Metropolitan Wayne County Airport,United States,DTW,KDTW,America/New_York,Michigan
Tampa International Airport,United States,TPA,KTPA,America/New_York,Florida
Pembina Municipal Airport,United States,PMB,KPMB,America/Chicago,Minnesota
Polk Army Air Field,United States,POE,KPOE,America/Chicago,Louisiana
Eielson Air Force Base,United States,EIL,PAEI,America/Anchorage,Alaska
Range Regional Airport,United States,HIB,KHIB,America/Chicago,Minnesota
Angelina County Airport,United States,LFK,KLFK,America/Chicago,Texas
Midland International Airport,United States,MAF,KMAF,America/Chicago,Texas
Austin Straubel International Airport,United States,GRB,KGRB,America/Chicago,Wisconsin
Ardmore Municipal Airport,United States,ADM,KADM,America/Chicago,Oklahoma
Mc Guire Air Force Base,United States,WRI,KWRI,America/New_York,New Jersey
Augusta Regional At Bush Field,United States,AGS,KAGS,America/New_York,Georgia
Sloulin Field International Airport,United States,ISN,KISN,America/Chicago,North Dakota
Bill & Hillary Clinton National Airport/Adams Field,United States,LIT,KLIT,America/Chicago,Arkansas
Stewart International Airport,United States,SWF,KSWF,America/New_York,New York
Baudette International Airport,United States,BDE,KBDE,America/Chicago,Minnesota
Sacramento Executive Airport,United States,SAC,KSAC,America/Los_Angeles,California
Homer Airport,United States,HOM,PAHO,America/Anchorage,Alaska
Waynesville-St. Robert Regional Forney field,United States,TBN,KTBN,America/Chicago,Missouri
Dobbins Air Reserve Base,United States,MGE,KMGE,America/New_York,Georgia
Fairchild Air Force Base,United States,SKA,KSKA,America/Los_Angeles,Washington
Roscommon County - Blodgett Memorial Airport,United States,HTL,KHTL,America/New_York,Michigan
Tyndall Air Force Base,United States,PAM,KPAM,America/Chicago,Florida
Dallas Fort Worth International Airport,United States,DFW,KDFW,America/Chicago,Texas
Melbourne International Airport,United States,MLB,KMLB,America/New_York,Florida
McChord Air Force Base,United States,TCM,KTCM,America/Los_Angeles,Washington
Austin Bergstrom International Airport,United States,AUS,KAUS,America/Chicago,Texas
Rickenbacker International Airport,United States,LCK,KLCK,America/New_York,Ohio
Sawyer International Airport,United States,MQT,KSAW,America/New_York,Michigan
McGhee Tyson Airport,United States,TYS,KTYS,America/New_York,Tennessee
Hood Army Air Field,United States,HLR,KHLR,America/Chicago,Texas
St Louis Lambert International Airport,United States,STL,KSTL,America/Chicago,Missouri
Millville Municipal Airport,United States,MIV,KMIV,America/New_York,New Jersey
Sheppard Air Force Base-Wichita Falls Municipal Airport,United States,SPS,KSPS,America/Chicago,Texas
Cincinnati Municipal Airport Lunken Field,United States,LUK,KLUK,America/New_York,Ohio
Hartsfield Jackson Atlanta International Airport,United States,ATL,KATL,America/New_York,Georgia
Castle Airport,United States,MER,KMER,America/Los_Angeles,California
Mc Clellan Airfield,United States,MCC,KMCC,America/Los_Angeles,California
Gerald R. Ford International Airport,United States,GRR,KGRR,America/New_York,Michigan
Winkler County Airport,United States,INK,KINK,America/Chicago,Texas
Fresno Yosemite International Airport,United States,FAT,KFAT,America/Los_Angeles,California
Vero Beach Regional Airport,United States,VRB,KVRB,America/New_York,Florida
Imperial County Airport,United States,IPL,KIPL,America/Los_Angeles,California
Nashville International Airport,United States,BNA,KBNA,America/Chicago,Tennessee
Laredo International Airport,United States,LRD,KLRD,America/Chicago,Texas
Elmendorf Air Force Base,United States,EDF,PAED,America/Anchorage,Alaska
