State,Instated,Date of Order
Alabama,1,"2020-03-16"
Alaska,1,"2020-03-16"
Arizona,1,"2020-03-16"
Arkansas,1,"2020-03-17"
California,1,"2020-03-19"
Colorado,1,"2020-03-23"
Connecticut,1,"2020-03-17"
Delaware,1,"2020-03-16"
Florida,1,"2020-03-16"
Georgia,1,"2020-03-18"
Hawaii,1,"2020-03-23"
Idaho,1,"2020-03-16"
Illinois,1,"2020-03-17"
Indiana,1,"2020-03-19"
Iowa,1,"2020-03-16"
Kansas,1,"2020-03-18"
Kentucky,1,"2020-03-16"
Louisiana,1,"2020-03-16"
Maine,1,"2020-04-02"
Maryland,1,"2020-03-16"
Massachusetts,1,"2020-03-17"
Michigan,1,"2020-03-16"
Minnesota,1,"2020-03-18"
Mississippi,1,"2020-03-20"
Missouri,1,"2020-03-19"
Montana,1,"2020-03-16"
Nebraska,1,"2020-03-23"
Nevada,1,"2020-03-16"
New Hampshire,1,"2020-03-16"
New Jersey,1,"2020-03-18"
New Mexico,1,"2020-03-16"
New York,1,"2020-03-18"
North Carolina,1,"2020-03-16"
North Dakota,1,"2020-03-16"
Ohio,1,"2020-03-17"
Oklahoma,1,"2020-03-17"
Oregon,1,"2020-03-16"
Pennsylvania,1,"2020-03-16"
Rhode Island,1,"2020-03-23"
South Carolina,1,"2020-03-16"
South Dakota,1,"2020-03-16"
Tennessee,1,"2020-03-20"
Texas,1,"2020-03-23"
Utah,1,"2020-03-16"
Vermont,1,"2020-03-18"
Virginia,1,"2020-03-16"
Washington,1,"2020-03-17"
West Virginia,1,"2020-03-16"
Wisconsin,1,"2020-03-18"
Wyoming,1,"2020-03-16"
