name,country,iata,icao,timezone_pytz,state
Hilo International Airport,United States,ITO,PHTO,Pacific/Honolulu,Hawaii
Fort Smith Regional Airport,United States,FSM,KFSM,America/Chicago,Arkansas
Merrill Field,United States,MRI,PAMR,America/Anchorage,Alaska
Grand Forks International Airport,United States,GFK,KGFK,America/Chicago,North Dakota
Trenton Mercer Airport,United States,TTN,KTTN,America/New_York,New Jersey
General Edward Lawrence Logan International Airport,United States,BOS,KBOS,America/New_York,Massachusetts
Metropolitan Oakland International Airport,United States,OAK,KOAK,America/Los_Angeles,California
Eppley Airfield,United States,OMA,KOMA,America/Chicago,Iowa
Kahului Airport,United States,OGG,PHOG,Pacific/Honolulu,Hawaii
Wichita Eisenhower National Airport,United States,ICT,KICT,America/Chicago,Kansas
Kansas City International Airport,United States,MCI,KMCI,America/Chicago,Missouri
Dane County Regional Truax Field,United States,MSN,KMSN,America/Chicago,Wisconsin
Dillingham Airport,United States,DLG,PADL,America/Anchorage,Alaska
Phoenix Sky Harbor International Airport,United States,PHX,KPHX,America/Phoenix,Arizona
Bangor International Airport,United States,BGR,KBGR,America/New_York,Maine
East Texas Regional Airport,United States,GGG,KGGG,America/Chicago,Texas
Spokane International Airport,United States,GEG,KGEG,America/Los_Angeles,Washington
San Francisco International Airport,United States,SFO,KSFO,America/Los_Angeles,California
Gainesville Regional Airport,United States,GNV,KGNV,America/New_York,Florida
Memphis International Airport,United States,MEM,KMEM,America/Chicago,Mississippi
Los Angeles International Airport,United States,LAX,KLAX,America/Los_Angeles,California
Cleveland Hopkins International Airport,United States,CLE,KCLE,America/New_York,Ohio
Cincinnati Northern Kentucky International Airport,United States,CVG,KCVG,America/New_York,Kentucky
Juneau International Airport,United States,JNU,PAJN,America/Anchorage,Alaska
Lafayette Regional Airport,United States,LFT,KLFT,America/Chicago,Louisiana
Newark Liberty International Airport,United States,EWR,KEWR,America/New_York,New Jersey
Boise Air Terminal/Gowen Field,United States,BOI,KBOI,America/Denver,Idaho
Garden City Regional Airport,United States,GCK,KGCK,America/Chicago,Kansas
Minot International Airport,United States,MOT,KMOT,America/Chicago,North Dakota
Dallas Love Field,United States,DAL,KDAL,America/Chicago,Texas
Helena Regional Airport,United States,HLN,KHLN,America/Denver,Montana
Lake Charles Regional Airport,United States,LCH,KLCH,America/Chicago,Louisiana
Ellison Onizuka Kona International At Keahole Airport,United States,KOA,PHKO,Pacific/Honolulu,Hawaii
Myrtle Beach International Airport,United States,MYR,KMYR,America/New_York,South Carolina
Nantucket Memorial Airport,United States,ACK,KACK,America/New_York,Massachusetts
Ronald Reagan Washington National Airport,United States,DCA,KDCA,America/New_York,District of Columbia
Atlantic City International Airport,United States,ACY,KACY,America/New_York,New Jersey
