FIPStxt,Stabr,Area_name,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2018,PCTPOVALL_2018
"00000",US,United States,,,41852315,13.1
"01000",AL,Alabama,,,801758,16.8
"01001",AL,Autauga County,2,2,7587,13.8
"01003",AL,Baldwin County,3,2,21069,9.8
"01005",AL,Barbour County,6,6,6788,30.9
"01007",AL,Bibb County,1,1,4400,21.8
"01009",AL,Blount County,1,1,7527,13.2
"01011",AL,Bullock County,6,6,3610,42.5
"01013",AL,Butler County,6,6,4731,24.5
"01015",AL,Calhoun County,3,2,21719,19.5
"01017",AL,Chambers County,6,5,6181,18.7
"01019",AL,Cherokee County,6,6,4180,16.3
"01021",AL,Chilton County,1,1,7542,17.3
"01023",AL,Choctaw County,9,10,2806,22.1
"01025",AL,Clarke County,7,11,5381,22.8
"01027",AL,Clay County,9,10,2285,17.6
"01029",AL,Cleburne County,8,4,2356,16.0
"01031",AL,Coffee County,4,5,7053,13.8
"01033",AL,Colbert County,3,2,7459,13.8
"01035",AL,Conecuh County,7,11,2979,24.4
"01037",AL,Coosa County,8,3,1973,18.9
"01039",AL,Covington County,6,6,7239,19.9
"01041",AL,Crenshaw County,8,6,2661,19.5
"01043",AL,Cullman County,4,3,11925,14.5
"01045",AL,Dale County,4,5,7743,16.2
"01047",AL,Dallas County,4,5,11841,31.4
"01049",AL,DeKalb County,6,6,14975,21.3
"01051",AL,Elmore County,2,2,8559,11.2
"01053",AL,Escambia County,6,6,8022,23.6
"01055",AL,Etowah County,3,2,17509,17.5
"01057",AL,Fayette County,6,6,3801,23.5
"01059",AL,Franklin County,6,6,5939,19.2
"01061",AL,Geneva County,3,2,5537,21.3
"01063",AL,Greene County,8,6,2459,30.1
"01065",AL,Hale County,3,2,3705,25.6
"01067",AL,Henry County,3,2,3037,17.9
"01069",AL,Houston County,3,2,17032,16.5
"01071",AL,Jackson County,6,5,10046,19.7
"01073",AL,Jefferson County,1,1,103604,16.1
"01075",AL,Lamar County,8,7,2374,17.4
"01077",AL,Lauderdale County,3,2,12645,14.0
"01079",AL,Lawrence County,3,2,6297,19.3
"01081",AL,Lee County,3,2,30075,19.0
"01083",AL,Limestone County,2,2,10633,11.4
"01085",AL,Lowndes County,2,2,2474,25.1
"01087",AL,Macon County,6,6,5031,30.2
"01089",AL,Madison County,2,2,42667,11.9
"01091",AL,Marengo County,7,11,4499,24.0
"01093",AL,Marion County,7,11,5844,20.2
"01095",AL,Marshall County,4,5,17341,18.3
"01097",AL,Mobile County,2,2,84539,20.8
"01099",AL,Monroe County,7,11,4560,21.9
"01101",AL,Montgomery County,2,2,43567,20.1
"01103",AL,Morgan County,3,2,15419,13.2
"01105",AL,Perry County,8,4,2943,35.3
"01107",AL,Pickens County,3,2,4177,23.1
"01109",AL,Pike County,6,5,7315,23.6
"01111",AL,Randolph County,6,4,4375,19.7
"01113",AL,Russell County,2,2,12384,21.7
"01115",AL,St. Clair County,1,1,10432,12.0
"01117",AL,Shelby County,1,1,16916,8.0
"01119",AL,Sumter County,8,6,4076,34.7
"01121",AL,Talladega County,4,3,14825,19.3
"01123",AL,Tallapoosa County,6,6,7839,19.7
"01125",AL,Tuscaloosa County,3,2,33330,16.8
"01127",AL,Walker County,1,1,11231,17.9
"01129",AL,Washington County,8,7,2846,17.6
"01131",AL,Wilcox County,9,10,3504,33.4
"01133",AL,Winston County,6,4,4338,18.6
"02000",AK,Alaska,,,80224,11.1
"02013",AK,Aleutians East Borough,9,12,544,15.5
"02016",AK,Aleutians West Census Area,9,11,550,10.0
"02020",AK,Anchorage Borough,2,2,27075,9.5
"02050",AK,Bethel Census Area,7,11,5869,32.7
"02060",AK,Bristol Bay Borough,9,12,96,11.2
"02068",AK,Denali Borough,8,7,135,6.9
"02070",AK,Dillingham Census Area,9,12,1091,22.0
"02090",AK,Fairbanks North Star Borough,3,2,8104,8.6
"02100",AK,Haines Borough,9,12,259,10.5
"02105",AK,Hoonah-Angoon Census Area,9,10,370,17.2
"02110",AK,Juneau Borough,5,8,2299,7.3
"02122",AK,Kenai Peninsula Borough,7,11,7103,12.4
"02130",AK,Ketchikan Gateway Borough,7,8,1244,9.1
"02150",AK,Kodiak Island Borough,7,11,1073,8.2
"02158",AK,Kusilvak Census Area,9,12,2905,35.1
"02164",AK,Lake and Peninsula Borough,9,12,288,18.2
"02170",AK,Matanuska-Susitna Borough,2,2,10937,10.4
"02180",AK,Nome Census Area,7,11,2168,22.0
"02185",AK,North Slope Borough,7,11,1094,11.1
"02188",AK,Northwest Arctic Borough,7,11,1604,21.1
"02195",AK,Petersburg Borough,9,11,232,7.2
"02198",AK,Prince of Wales-Hyder Census Area,9,10,1057,16.5
"02220",AK,Sitka Borough,7,11,656,7.7
"02230",AK,Skagway Municipality,9,12,49,4.3
"02240",AK,Southeast Fairbanks Census Area,9,12,918,13.4
"02261",AK,Valdez-Cordova Census Area,9,11,880,9.7
"02275",AK,Wrangell City and Borough,9,12,287,11.6
"02282",AK,Yakutat Borough,9,12,79,13.1
"02290",AK,Yukon-Koyukuk Census Area,9,12,1259,23.7
"04000",AZ,Arizona,,,990291,14.1
"04001",AZ,Apache County,6,6,26435,37.3
"04003",AZ,Cochise County,3,2,18273,15.1
"04005",AZ,Coconino County,3,2,20964,15.9
"04007",AZ,Gila County,4,3,10804,20.4
"04009",AZ,Graham County,7,8,7118,20.2
"04011",AZ,Greenlee County,7,9,985,10.5
"04012",AZ,La Paz County,6,4,4921,23.7
"04013",AZ,Maricopa County,1,1,535183,12.3
"04015",AZ,Mohave County,3,2,34411,16.8
"04017",AZ,Navajo County,4,5,30876,28.5
"04019",AZ,Pima County,2,2,164927,16.2
"04021",AZ,Pinal County,1,1,54399,12.9
"04023",AZ,Santa Cruz County,4,5,11287,24.4
"04025",AZ,Yavapai County,3,2,30060,13.2
"04027",AZ,Yuma County,3,2,39648,19.5
"05000",AR,Arkansas,,,492306,16.8
"05001",AR,Arkansas County,6,6,3120,17.9
"05003",AR,Ashley County,7,11,3876,19.6
"05005",AR,Baxter County,7,8,6216,15.1
"05007",AR,Benton County,2,2,23290,8.6
"05009",AR,Boone County,7,8,5472,14.8
"05011",AR,Bradley County,7,9,2329,21.7
"05013",AR,Calhoun County,9,8,800,15.7
"05015",AR,Carroll County,6,6,4499,16.1
"05017",AR,Chicot County,7,9,3039,31.4
"05019",AR,Clark County,7,8,3838,19.9
"05021",AR,Clay County,7,9,3035,20.7
"05023",AR,Cleburne County,6,6,3573,14.6
"05025",AR,Cleveland County,3,2,1232,15.5
"05027",AR,Columbia County,7,8,4799,22.4
"05029",AR,Conway County,6,6,3693,17.9
"05031",AR,Craighead County,3,2,18768,17.9
"05033",AR,Crawford County,2,2,10027,16.0
"05035",AR,Crittenden County,1,1,9056,19.2
"05037",AR,Cross County,6,4,2940,18.0
"05039",AR,Dallas County,6,6,1442,21.3
"05041",AR,Desha County,6,6,2780,24.3
"05043",AR,Drew County,6,6,3391,19.5
"05045",AR,Faulkner County,2,2,18571,15.4
"05047",AR,Franklin County,6,6,3202,18.3
"05049",AR,Fulton County,9,9,2481,20.6
"05051",AR,Garland County,3,2,19844,20.4
"05053",AR,Grant County,2,2,2353,13.1
"05055",AR,Greene County,4,5,7361,16.5
"05057",AR,Hempstead County,6,6,4424,20.6
"05059",AR,Hot Spring County,6,5,5844,18.7
"05061",AR,Howard County,6,6,2271,17.3
"05063",AR,Independence County,7,8,5302,14.5
"05065",AR,Izard County,9,10,2358,18.7
"05067",AR,Jackson County,6,6,3732,25.6
"05069",AR,Jefferson County,3,2,13900,22.2
"05071",AR,Johnson County,7,9,5761,22.2
"05073",AR,Lafayette County,8,7,1498,22.8
"05075",AR,Lawrence County,6,6,2776,17.7
"05077",AR,Lee County,7,9,3098,43.0
"05079",AR,Lincoln County,3,2,2647,27.5
"05081",AR,Little River County,3,2,1942,16.0
"05083",AR,Logan County,6,6,3950,18.6
"05085",AR,Lonoke County,2,2,8651,11.9
"05087",AR,Madison County,2,2,3002,18.4
"05089",AR,Marion County,9,10,3082,18.7
"05091",AR,Miller County,3,2,9228,21.9
"05093",AR,Mississippi County,4,3,10325,25.7
"05095",AR,Monroe County,7,9,1769,26.0
"05097",AR,Montgomery County,8,7,1649,18.8
"05099",AR,Nevada County,7,9,1738,21.3
"05101",AR,Newton County,9,8,1340,17.4
"05103",AR,Ouachita County,7,8,5410,23.3
"05105",AR,Perry County,2,2,1502,14.7
"05107",AR,Phillips County,6,3,6301,35.4
"05109",AR,Pike County,9,10,1856,17.8
"05111",AR,Poinsett County,3,2,5592,23.7
"05113",AR,Polk County,7,11,3962,20.0
"05115",AR,Pope County,5,8,9647,16.0
"05117",AR,Prairie County,8,7,1254,15.8
"05119",AR,Pulaski County,2,2,64312,16.7
"05121",AR,Randolph County,7,9,3050,17.4
"05123",AR,St. Francis County,6,3,7586,35.6
"05125",AR,Saline County,2,2,11695,9.7
"05127",AR,Scott County,6,6,2054,20.2
"05129",AR,Searcy County,9,10,1912,24.3
"05131",AR,Sebastian County,2,2,19527,15.6
"05133",AR,Sevier County,6,6,3402,20.1
"05135",AR,Sharp County,7,9,3541,20.7
"05137",AR,Stone County,9,9,2497,20.3
"05139",AR,Union County,7,8,7000,18.2
"05141",AR,Van Buren County,8,6,2685,16.4
"05143",AR,Washington County,2,2,34741,15.2
"05145",AR,White County,4,5,12505,16.6
"05147",AR,Woodruff County,9,10,1509,23.7
"05149",AR,Yell County,6,5,3453,16.3
"06000",CA,California,,,4972955,12.8
"06001",CA,Alameda County,1,1,147394,9.0
"06003",CA,Alpine County,8,4,190,17.3
"06005",CA,Amador County,6,4,4130,11.8
"06007",CA,Butte County,3,2,42016,18.5
"06009",CA,Calaveras County,6,6,5454,12.1
"06011",CA,Colusa County,6,4,2350,11.0
"06013",CA,Contra Costa County,1,1,88980,7.8
"06015",CA,Del Norte County,7,8,5065,20.4
"06017",CA,El Dorado County,1,1,15401,8.1
"06019",CA,Fresno County,2,2,208627,21.3
"06021",CA,Glenn County,6,6,4271,15.4
"06023",CA,Humboldt County,5,8,27002,20.3
"06025",CA,Imperial County,3,2,37014,21.4
"06027",CA,Inyo County,7,11,2172,12.3
"06029",CA,Kern County,2,2,177021,20.5
"06031",CA,Kings County,3,2,25481,18.8
"06033",CA,Lake County,4,5,11689,18.4
"06035",CA,Lassen County,7,8,3653,15.8
"06037",CA,Los Angeles County,1,1,1409155,14.2
